"id","collection_id","kind","locale","text","meaning_zh","planned_path","status"
"triceratops-name","triceratops","name","en-US","Triceratops","三角龙","assets/audio/en-US/collectibles/triceratops-name.mp3","draft_pending_review"
"triceratops-line","triceratops","line","en-US","I have three horns.","我有三只角。","assets/audio/en-US/collectibles/triceratops-line.mp3","draft_pending_review"
"stegosaurus-name","stegosaurus","name","en-US","Stegosaurus","剑龙","assets/audio/en-US/collectibles/stegosaurus-name.mp3","draft_pending_review"
"stegosaurus-line","stegosaurus","line","en-US","I have plates on my back.","我的背上有骨板。","assets/audio/en-US/collectibles/stegosaurus-line.mp3","draft_pending_review"
"pterosaur-name","pterosaur","name","en-US","Pterosaur","翼龙","assets/audio/en-US/collectibles/pterosaur-name.mp3","draft_pending_review"
"pterosaur-line","pterosaur","line","en-US","I can fly.","我会飞。","assets/audio/en-US/collectibles/pterosaur-line.mp3","draft_pending_review"
"dinosaur-egg-name","dinosaur-egg","name","en-US","Dinosaur egg","恐龙蛋","assets/audio/en-US/collectibles/dinosaur-egg-name.mp3","draft_pending_review"
"dinosaur-egg-line","dinosaur-egg","line","en-US","What is inside the egg?","蛋里面是什么？","assets/audio/en-US/collectibles/dinosaur-egg-line.mp3","draft_pending_review"
"fossil-display-name","fossil-display","name","en-US","Fossil","化石展示台","assets/audio/en-US/collectibles/fossil-display-name.mp3","draft_pending_review"
"fossil-display-line","fossil-display","line","en-US","This fossil is very old.","这块化石很古老。","assets/audio/en-US/collectibles/fossil-display-line.mp3","draft_pending_review"
"little-tyrannosaurus-name","little-tyrannosaurus","name","en-US","T. rex","小霸王龙","assets/audio/en-US/collectibles/little-tyrannosaurus-name.mp3","draft_pending_review"
"little-tyrannosaurus-line","little-tyrannosaurus","line","en-US","I have a long tail.","我有一条长尾巴。","assets/audio/en-US/collectibles/little-tyrannosaurus-line.mp3","draft_pending_review"
"rocket-name","rocket","name","en-US","Rocket","小火箭","assets/audio/en-US/collectibles/rocket-name.mp3","draft_pending_review"
"rocket-line","rocket","line","en-US","My rocket flies into space.","我的火箭飞向太空。","assets/audio/en-US/collectibles/rocket-line.mp3","draft_pending_review"
"moon-rover-name","moon-rover","name","en-US","Moon rover","月球车","assets/audio/en-US/collectibles/moon-rover-name.mp3","draft_pending_review"
"moon-rover-line","moon-rover","line","en-US","This rover moves on the moon.","这辆月球车在月球上行驶。","assets/audio/en-US/collectibles/moon-rover-line.mp3","draft_pending_review"
"satellite-name","satellite","name","en-US","Satellite","卫星","assets/audio/en-US/collectibles/satellite-name.mp3","draft_pending_review"
"satellite-line","satellite","line","en-US","The satellite goes around Earth.","这颗卫星绕地球运行。","assets/audio/en-US/collectibles/satellite-line.mp3","draft_pending_review"
"space-helmet-name","space-helmet","name","en-US","Space helmet","宇航头盔","assets/audio/en-US/collectibles/space-helmet-name.mp3","draft_pending_review"
"space-helmet-line","space-helmet","line","en-US","This is my space helmet.","这是我的宇航头盔。","assets/audio/en-US/collectibles/space-helmet-line.mp3","draft_pending_review"
"planet-model-name","planet-model","name","en-US","Planet","星球摆件","assets/audio/en-US/collectibles/planet-model-name.mp3","draft_pending_review"
"planet-model-line","planet-model","line","en-US","This planet has rings.","这颗行星有光环。","assets/audio/en-US/collectibles/planet-model-line.mp3","draft_pending_review"
"star-robot-name","star-robot","name","en-US","Robot","星际机器人","assets/audio/en-US/collectibles/star-robot-name.mp3","draft_pending_review"
"star-robot-line","star-robot","line","en-US","Hello! I am your robot friend.","你好！我是你的机器人朋友。","assets/audio/en-US/collectibles/star-robot-line.mp3","draft_pending_review"
"sea-turtle-name","sea-turtle","name","en-US","Sea turtle","海龟","assets/audio/en-US/collectibles/sea-turtle-name.mp3","draft_pending_review"
"sea-turtle-line","sea-turtle","line","en-US","I swim in the ocean.","我在海洋里游泳。","assets/audio/en-US/collectibles/sea-turtle-line.mp3","draft_pending_review"
"clownfish-name","clownfish","name","en-US","Clownfish","小丑鱼","assets/audio/en-US/collectibles/clownfish-name.mp3","draft_pending_review"
"clownfish-line","clownfish","line","en-US","I am a small fish.","我是一条小鱼。","assets/audio/en-US/collectibles/clownfish-line.mp3","draft_pending_review"
"octopus-name","octopus","name","en-US","Octopus","章鱼","assets/audio/en-US/collectibles/octopus-name.mp3","draft_pending_review"
"octopus-line","octopus","line","en-US","I have eight arms.","我有八条腕。","assets/audio/en-US/collectibles/octopus-line.mp3","draft_pending_review"
"shell-house-name","shell-house","name","en-US","Shell house","贝壳屋","assets/audio/en-US/collectibles/shell-house-name.mp3","draft_pending_review"
"shell-house-line","shell-house","line","en-US","Welcome to my little house.","欢迎来到我的小房子。","assets/audio/en-US/collectibles/shell-house-line.mp3","draft_pending_review"
"submarine-name","submarine","name","en-US","Submarine","潜水艇","assets/audio/en-US/collectibles/submarine-name.mp3","draft_pending_review"
"submarine-line","submarine","line","en-US","My submarine goes underwater.","我的潜水艇潜入水下。","assets/audio/en-US/collectibles/submarine-line.mp3","draft_pending_review"
"little-whale-name","little-whale","name","en-US","Whale","小鲸鱼","assets/audio/en-US/collectibles/little-whale-name.mp3","draft_pending_review"
"little-whale-line","little-whale","line","en-US","I live in the ocean.","我生活在海洋里。","assets/audio/en-US/collectibles/little-whale-line.mp3","draft_pending_review"
