"id","kind","locale","text","meaning_zh","planned_path","direction","status"
"word-rabbit","word","en-US","rabbit","兔子","assets/audio/en-US/words/rabbit.mp3","Read only the supplied text.","draft_pending_review"
"word-tiger","word","en-US","tiger","老虎","assets/audio/en-US/words/tiger.mp3","Read only the supplied text.","draft_pending_review"
"word-turtle","word","en-US","turtle","龟","assets/audio/en-US/words/turtle.mp3","Read only the supplied text.","draft_pending_review"
"word-fish","word","en-US","fish","鱼","assets/audio/en-US/words/fish.mp3","Read only the supplied text.","draft_pending_review"
"word-bird","word","en-US","bird","鸟","assets/audio/en-US/words/bird.mp3","Read only the supplied text.","draft_pending_review"
"word-dog","word","en-US","dog","狗","assets/audio/en-US/words/dog.mp3","Read only the supplied text.","draft_pending_review"
"word-cat","word","en-US","cat","猫","assets/audio/en-US/words/cat.mp3","Read only the supplied text.","draft_pending_review"
"word-umbrella","word","en-US","umbrella","雨伞","assets/audio/en-US/words/umbrella.mp3","Read only the supplied text.","draft_pending_review"
"word-raincoat","word","en-US","raincoat","雨衣","assets/audio/en-US/words/raincoat.mp3","Read only the supplied text.","draft_pending_review"
"word-coat","word","en-US","coat","外套","assets/audio/en-US/words/coat.mp3","Read only the supplied text.","draft_pending_review"
"word-hat","word","en-US","hat","帽子","assets/audio/en-US/words/hat.mp3","Read only the supplied text.","draft_pending_review"
"word-shoes","word","en-US","shoes","鞋","assets/audio/en-US/words/shoes.mp3","Read only the supplied text.","draft_pending_review"
"word-bag","word","en-US","bag","包","assets/audio/en-US/words/bag.mp3","Read only the supplied text.","draft_pending_review"
"word-book","word","en-US","book","书","assets/audio/en-US/words/book.mp3","Read only the supplied text.","draft_pending_review"
"word-pencil","word","en-US","pencil","铅笔","assets/audio/en-US/words/pencil.mp3","Read only the supplied text.","draft_pending_review"
"word-chair","word","en-US","chair","椅子","assets/audio/en-US/words/chair.mp3","Read only the supplied text.","draft_pending_review"
"word-table","word","en-US","table","桌子","assets/audio/en-US/words/table.mp3","Read only the supplied text.","draft_pending_review"
"word-bed","word","en-US","bed","床","assets/audio/en-US/words/bed.mp3","Read only the supplied text.","draft_pending_review"
"word-door","word","en-US","door","门","assets/audio/en-US/words/door.mp3","Read only the supplied text.","draft_pending_review"
"word-window","word","en-US","window","窗户","assets/audio/en-US/words/window.mp3","Read only the supplied text.","draft_pending_review"
"word-apple","word","en-US","apple","苹果","assets/audio/en-US/words/apple.mp3","Read only the supplied text.","draft_pending_review"
"word-banana","word","en-US","banana","香蕉","assets/audio/en-US/words/banana.mp3","Read only the supplied text.","draft_pending_review"
"word-bread","word","en-US","bread","面包","assets/audio/en-US/words/bread.mp3","Read only the supplied text.","draft_pending_review"
"word-milk","word","en-US","milk","牛奶","assets/audio/en-US/words/milk.mp3","Read only the supplied text.","draft_pending_review"
"word-run","word","en-US","run","跑","assets/audio/en-US/words/run.mp3","Read only the supplied text.","draft_pending_review"
"word-walk","word","en-US","walk","走","assets/audio/en-US/words/walk.mp3","Read only the supplied text.","draft_pending_review"
"word-jump","word","en-US","jump","跳","assets/audio/en-US/words/jump.mp3","Read only the supplied text.","draft_pending_review"
"word-swim","word","en-US","swim","游泳","assets/audio/en-US/words/swim.mp3","Read only the supplied text.","draft_pending_review"
"word-fly","word","en-US","fly","飞","assets/audio/en-US/words/fly.mp3","Read only the supplied text.","draft_pending_review"
"word-read","word","en-US","read","阅读","assets/audio/en-US/words/read.mp3","Use the present-tense verb pronunciation /riːd/.","draft_pending_review"
"word-write","word","en-US","write","写","assets/audio/en-US/words/write.mp3","Read only the supplied text.","draft_pending_review"
"word-eat","word","en-US","eat","吃","assets/audio/en-US/words/eat.mp3","Read only the supplied text.","draft_pending_review"
"word-drink","word","en-US","drink","喝","assets/audio/en-US/words/drink.mp3","Read only the supplied text.","draft_pending_review"
"word-sleep","word","en-US","sleep","睡觉","assets/audio/en-US/words/sleep.mp3","Read only the supplied text.","draft_pending_review"
"word-open","word","en-US","open","打开","assets/audio/en-US/words/open.mp3","Read only the supplied text.","draft_pending_review"
"word-close","word","en-US","close","关上","assets/audio/en-US/words/close.mp3","Use the verb pronunciation /kloʊz/.","draft_pending_review"
"word-hot","word","en-US","hot","热的","assets/audio/en-US/words/hot.mp3","Read only the supplied text.","draft_pending_review"
"word-cold","word","en-US","cold","冷的","assets/audio/en-US/words/cold.mp3","Read only the supplied text.","draft_pending_review"
"word-big","word","en-US","big","大的","assets/audio/en-US/words/big.mp3","Read only the supplied text.","draft_pending_review"
"word-small","word","en-US","small","小的","assets/audio/en-US/words/small.mp3","Read only the supplied text.","draft_pending_review"
"word-long","word","en-US","long","长的","assets/audio/en-US/words/long.mp3","Read only the supplied text.","draft_pending_review"
